合约代码,更新时间,最新价,成交量,买价一,买量一,卖价一,卖量一,持仓量,换手率
zn1810,14:09:18.0,21595,719760,21590,39,21595,7,217886,7.64466e+10
zn1810,14:09:18.500,21595,719776,21590,41,21595,4,217892,7.64484e+10
zn1810,14:09:19.500,21595,719794,21590,51,21595,23,217892,7.64503e+10
zn1810,14:09:20.500,21590,719796,21590,50,21595,26,217890,7.64505e+10
zn1810,14:09:21.500,21595,719798,21590,51,21595,43,217892,7.64507e+10
zn1810,14:09:22.0,21595,719800,21590,71,21595,42,217894,7.64509e+10
zn1810,14:09:22.500,21595,719806,21590,71,21595,39,217900,7.64516e+10
zn1810,14:09:23.0,21595,719808,21590,71,21595,38,217902,7.64518e+10
zn1810,14:09:23.500,21595,719808,21590,72,21595,38,217902,7.64518e+10
zn1810,14:09:24.0,21595,719808,21590,72,21595,22,217902,7.64518e+10
zn1810,14:09:24.500,21590,719816,21590,72,21595,20,217900,7.64527e+10
zn1810,14:09:25.0,21590,719818,21590,72,21595,20,217900,7.64529e+10
zn1810,14:09:26.0,21595,719822,21590,73,21595,18,217900,7.64533e+10
zn1810,14:09:26.500,21595,719824,21590,71,21595,17,217900,7.64535e+10
zn1810,14:09:27.0,21595,719850,21590,70,21595,12,217902,7.64563e+10
zn1810,14:09:27.500,21595,719850,21590,69,21595,12,217902,7.64563e+10
zn1810,14:09:28.500,21595,719850,21590,75,21595,14,217902,7.64563e+10
zn1810,14:09:29.0,21595,719852,21590,75,21595,13,217904,7.64566e+10
zn1810,14:09:29.500,21595,719870,21590,75,21595,4,217912,7.64585e+10
zn1810,14:09:30.0,21595,719882,21590,90,21600,103,217908,7.64598e+10
zn1810,14:09:31.0,21590,719884,21590,91,21595,1,217906,7.646e+10
zn1810,14:09:31.500,21595,719894,21595,5,21600,103,217908,7.64611e+10
zn1810,14:09:32.0,21600,719904,21595,10,21600,117,217918,7.64622e+10
zn1810,14:09:33.0,21595,719906,21595,12,21600,118,217920,7.64624e+10
zn1810,14:09:33.500,21595,719906,21595,22,21600,117,217920,7.64624e+10
zn1810,14:09:34.0,21600,719910,21595,24,21600,115,217918,7.64628e+10
zn1810,14:09:34.500,21595,719912,21595,23,21600,115,217920,7.6463e+10
zn1810,14:09:35.0,21595,719912,21595,23,21600,116,217920,7.6463e+10
zn1810,14:09:35.500,21590,719960,21590,82,21595,6,217912,7.64682e+10
zn1810,14:09:36.0,21590,719962,21590,81,21595,34,217910,7.64684e+10
zn1810,14:09:36.500,21590,720072,21590,26,21595,38,217872,7.64803e+10
zn1810,14:09:37.0,21590,720124,21585,151,21590,45,217880,7.64859e+10
zn1810,14:09:37.500,21590,720124,21585,151,21590,51,217880,7.64859e+10
zn1810,14:09:38.0,21590,720124,21585,151,21590,41,217880,7.64859e+10
zn1810,14:09:38.500,21590,720128,21585,156,21590,41,217884,7.64864e+10
zn1810,14:09:39.0,21590,720130,21585,161,21590,36,217884,7.64866e+10
zn1810,14:09:39.500,21590,720138,21585,161,21590,32,217884,7.64874e+10
zn1810,14:09:40.0,21595,720204,21590,13,21595,39,217860,7.64946e+10
zn1810,14:09:40.500,21590,720206,21590,17,21595,42,217860,7.64948e+10
zn1810,14:09:41.0,21590,720218,21590,12,21595,46,217848,7.64961e+10
zn1810,14:09:41.500,21590,720248,21585,161,21590,17,217828,7.64993e+10
zn1810,14:09:42.0,21590,720250,21585,161,21590,27,217826,7.64995e+10
zn1810,14:09:42.500,21590,720250,21585,160,21590,43,217826,7.64995e+10
zn1810,14:09:43.0,21590,720250,21585,164,21590,34,217826,7.64995e+10
zn1810,14:09:43.500,21590,720254,21585,164,21590,38,217824,7.65e+10
zn1810,14:09:44.0,21590,720256,21585,164,21590,31,217822,7.65002e+10
zn1810,14:09:44.500,21590,720256,21585,164,21590,31,217822,7.65002e+10
zn1810,14:09:45.0,21590,720256,21585,169,21590,32,217822,7.65002e+10
zn1810,14:09:45.500,21585,720260,21585,167,21590,43,217822,7.65006e+10
zn1810,14:09:46.0,21585,720260,21585,167,21590,32,217822,7.65006e+10
zn1810,14:09:46.500,21585,720262,21585,166,21590,33,217822,7.65008e+10
zn1810,14:09:47.500,21585,720262,21585,166,21590,33,217822,7.65008e+10
zn1810,14:09:48.0,21585,720262,21585,171,21590,37,217822,7.65008e+10
zn1810,14:09:48.500,21590,720264,21585,170,21590,39,217824,7.6501e+10
